order_id,product_id,product_name,order_date,shipped_date,remittance_date,remittance_days,destination_pincode,courier_partner,cost_price,selling_price,quantity,payment_method,rto_status
ORD-7056,SKU-1020,UV Protection Sunglasses,2025-12-10 07:42:35,2025-12-10 15:50:41,2025-12-19 15:50:41,9.0,560068,Delhivery,950.5,2499.0,1,COD,False
ORD-7059,SKU-1415,Repurpose Rich E-Tailers,2025-12-10 14:58:03,2025-12-10 23:51:46,2025-12-22 23:51:46,12.0,400076,Blue Dart,4938.84,14681.02,3,COD,False
ORD-7061,SKU-1292,Embrace One-To-One E-Tailers,2025-12-10 17:40:53,2025-12-11 16:30:48,,,110037,Blue Dart,925.28,2462.96,2,COD,True
ORD-7062,SKU-1288,Monetize Web-Enabled Architectures,2025-12-10 19:52:37,2025-12-11 05:45:34,2025-12-22 05:45:34,11.0,110001,Blue Dart,2248.94,5243.51,2,COD,False
ORD-7066,SKU-1102,Iterate Turn-Key Web-Readiness,2025-12-11 02:29:50,2025-12-11 18:19:28,2025-12-22 18:19:28,11.0,400076,Ekart Logistics,300.66,540.93,3,COD,False
ORD-7067,SKU-1177,Redefine Cross-Platform E-Business,2025-12-11 04:20:10,2025-12-11 08:45:06,2025-12-18 08:45:06,7.0,560068,Shiprocket,1320.82,2703.03,1,COD,False
ORD-7071,SKU-1295,Re-Contextualize Next-Generation Roi,2025-12-11 10:55:44,2025-12-11 23:15:16,2025-12-24 23:15:16,13.0,560034,Ekart Logistics,1076.38,2984.56,1,COD,False
ORD-7073,SKU-1031,Incubate Viral Synergies,2025-12-11 13:44:32,2025-12-12 01:17:30,2025-12-19 01:17:30,7.0,560068,Delhivery,1769.25,4776.13,1,COD,False
ORD-7074,SKU-1031,Incubate Viral Synergies,2025-12-11 14:02:15,2025-12-12 11:39:11,2025-12-22 11:39:11,10.0,560034,Blue Dart,1769.25,4776.13,1,COD,False
ORD-7076,SKU-1037,Embrace Vertical Models,2025-12-11 15:25:57,2025-12-12 11:42:06,2025-12-26 11:42:06,14.0,110001,Ekart Logistics,3509.44,9168.6,2,COD,False
ORD-7077,SKU-1390,Productize Compelling Markets,2025-12-11 16:07:17,2025-12-11 23:34:55,2025-12-19 23:34:55,8.0,411057,Shiprocket,4391.08,7861.43,2,COD,False
ORD-7082,SKU-1442,Benchmark B2B Schemas,2025-12-12 00:30:43,2025-12-12 23:39:01,2025-12-22 23:39:01,10.0,411057,Delhivery,3631.76,7348.41,3,COD,False
ORD-7087,SKU-1038,Embrace Real-Time Supply-Chains,2025-12-12 10:38:48,2025-12-13 01:49:13,2025-12-28 01:49:13,15.0,110001,Ekart Logistics,1499.78,2600.24,1,COD,False
ORD-7089,SKU-1169,Extend Virtual Functionalities,2025-12-12 13:29:46,2025-12-13 01:15:20,2025-12-25 01:15:20,12.0,110037,Blue Dart,4565.5,10386.13,3,COD,False
ORD-7090,SKU-1296,Enhance Value-Added Roi,2025-12-12 13:39:41,2025-12-12 22:59:05,,,560034,Delhivery,944.36,1943.65,2,COD,True
ORD-7095,SKU-1399,Harness Interactive Communities,2025-12-12 19:25:14,2025-12-13 03:43:27,2025-12-23 03:43:27,10.0,110037,Delhivery,2019.85,4693.51,3,COD,False
ORD-7097,SKU-1328,Repurpose Impactful Systems,2025-12-12 21:25:21,2025-12-13 01:45:57,2025-12-20 01:45:57,7.0,110001,Blue Dart,2205.77,4749.83,3,COD,False
ORD-7098,SKU-1298,Evolve Back-End Initiatives,2025-12-12 21:50:45,2025-12-13 03:41:04,2025-12-22 03:41:04,9.0,400076,Shiprocket,1777.09,2790.6,3,COD,False
ORD-7101,SKU-1245,Monetize Distributed Mindshare,2025-12-13 03:40:48,2025-12-13 09:20:09,2025-12-25 09:20:09,12.0,400076,Blue Dart,1200.56,1837.88,1,COD,False
ORD-7105,SKU-1068,Streamline Transparent Schemas,2025-12-13 12:14:11,2025-12-14 10:58:02,2025-12-22 10:58:02,8.0,411057,Blue Dart,621.98,1855.88,2,COD,False
ORD-7109,SKU-1408,Enhance Integrated Networks,2025-12-13 18:17:52,2025-12-14 17:32:25,2025-12-24 17:32:25,10.0,560034,Blue Dart,2727.72,4804.74,3,COD,False
ORD-7111,SKU-1219,Aggregate Distributed Channels,2025-12-13 22:01:24,2025-12-14 10:55:14,2025-12-21 10:55:14,7.0,560034,Shiprocket,3297.74,8864.96,1,COD,False
ORD-7113,SKU-1130,Aggregate Vertical E-Tailers,2025-12-13 23:25:40,2025-12-14 07:26:43,2025-12-22 07:26:43,8.0,560068,Delhivery,2235.51,6001.2,3,COD,False
ORD-7114,SKU-1452,Architect Compelling Synergies,2025-12-14 00:45:46,2025-12-14 10:58:49,2025-12-26 10:58:49,12.0,400076,Delhivery,3937.83,9859.99,2,COD,False
ORD-7116,SKU-1297,Integrate Value-Added Convergence,2025-12-14 03:21:50,2025-12-14 15:47:15,2025-12-29 15:47:15,15.0,560034,Blue Dart,2184.13,3846.45,1,COD,False
ORD-7117,SKU-1309,Mesh Leading-Edge Supply-Chains,2025-12-14 05:18:54,2025-12-15 04:28:46,2025-12-23 04:28:46,8.0,411057,Ekart Logistics,555.83,1359.28,2,COD,False
ORD-7118,SKU-1247,Grow Viral Markets,2025-12-14 05:59:28,2025-12-14 11:41:23,2025-12-26 11:41:23,12.0,400076,Shiprocket,3666.66,7095.05,3,COD,False
ORD-7119,SKU-1493,Expedite Next-Generation Markets,2025-12-14 07:39:55,2025-12-15 03:14:39,2025-12-28 03:14:39,13.0,560068,Ekart Logistics,1214.43,2332.62,2,COD,False
ORD-7121,SKU-1498,Embrace Scalable Mindshare,2025-12-14 11:19:09,2025-12-15 02:31:16,2025-12-25 02:31:16,10.0,560068,Delhivery,2874.8,4824.34,2,COD,False
ORD-7122,SKU-1164,E-Enable User-Centric Info-Mediaries,2025-12-14 12:50:35,2025-12-15 05:54:43,2025-12-27 05:54:43,12.0,560034,Ekart Logistics,1143.53,3140.65,1,COD,False
ORD-7123,SKU-1009,Ceramic Coffee Mug Set,2025-12-14 13:32:15,2025-12-15 05:26:12,2025-12-30 05:26:12,15.0,110001,Blue Dart,550.0,1399.0,3,COD,False
ORD-7126,SKU-1024,Aggregate Viral Users,2025-12-14 20:06:32,2025-12-15 00:06:42,2025-12-28 00:06:42,13.0,110037,Blue Dart,3925.84,7010.73,3,COD,False
ORD-7127,SKU-1201,Synergize B2C Paradigms,2025-12-14 21:25:38,2025-12-15 18:28:40,2025-12-24 18:28:40,9.0,110037,Ekart Logistics,2266.74,4240.61,2,COD,False
ORD-7132,SKU-1473,Redefine Ubiquitous Action-Items,2025-12-15 06:02:52,2025-12-16 02:58:04,2025-12-24 02:58:04,8.0,560034,Ekart Logistics,4977.01,14862.92,2,COD,False
ORD-7133,SKU-1306,Utilize Cutting-Edge Platforms,2025-12-15 08:32:40,2025-12-15 14:48:06,2025-12-30 14:48:06,15.0,560034,Delhivery,2657.15,6212.51,1,COD,False
ORD-7135,SKU-1319,Benchmark Vertical Initiatives,2025-12-15 13:02:45,2025-12-16 05:24:55,2025-12-30 05:24:55,14.0,110001,Shiprocket,3629.28,8234.84,1,COD,False
ORD-7136,SKU-1069,Implement Customized E-Markets,2025-12-15 15:42:25,2025-12-16 07:22:50,2025-12-30 07:22:50,14.0,560034,Blue Dart,1407.56,4089.14,1,COD,False
ORD-7137,SKU-1456,Evolve Dynamic Action-Items,2025-12-15 17:27:38,2025-12-16 15:19:58,2025-12-29 15:19:58,13.0,110001,Delhivery,3011.85,6404.6,3,COD,False
ORD-7140,SKU-1331,Grow Virtual Platforms,2025-12-15 21:04:11,2025-12-16 01:15:50,2025-12-26 01:15:50,10.0,110037,Blue Dart,1434.51,3727.07,2,COD,False
ORD-7141,SKU-1407,Reinvent Customized Relationships,2025-12-15 22:15:20,2025-12-16 14:36:37,2025-12-29 14:36:37,13.0,560068,Blue Dart,4779.03,9744.46,3,COD,False
ORD-7142,SKU-1150,Expedite World-Class Experiences,2025-12-16 00:18:10,2025-12-16 14:58:47,2025-12-30 14:58:47,14.0,560034,Ekart Logistics,4274.26,8273.37,1,COD,False
ORD-7144,SKU-1042,Evolve Collaborative Eyeballs,2025-12-16 01:27:37,2025-12-16 11:54:10,2025-12-23 11:54:10,7.0,400076,Blue Dart,500.47,1025.03,1,COD,False
ORD-7145,SKU-1058,Generate Synergistic E-Tailers,2025-12-16 03:57:11,2025-12-17 03:17:32,2025-12-25 03:17:32,8.0,560068,Ekart Logistics,1115.27,2622.67,1,COD,False
ORD-7146,SKU-1346,Exploit Customized Supply-Chains,2025-12-16 06:25:43,2025-12-16 17:52:18,2025-12-27 17:52:18,11.0,411057,Shiprocket,1101.74,1817.26,3,COD,False
ORD-7149,SKU-1495,Enable Strategic Info-Mediaries,2025-12-16 11:24:04,2025-12-17 04:58:59,2025-12-30 04:58:59,13.0,110001,Blue Dart,3405.42,5573.38,2,COD,False
ORD-7151,SKU-1031,Incubate Viral Synergies,2025-12-16 14:34:48,2025-12-16 23:30:33,2025-12-30 23:30:33,14.0,400076,Blue Dart,1769.25,4776.13,3,COD,False
ORD-7154,SKU-1365,Leverage Wireless Niches,2025-12-16 16:38:50,2025-12-17 08:45:03,2025-12-25 08:45:03,8.0,411057,Shiprocket,731.06,1169.34,1,COD,False
ORD-7155,SKU-1238,Deliver Cross-Platform Partnerships,2025-12-16 18:31:13,2025-12-17 03:23:03,2025-12-25 03:23:03,8.0,560068,Shiprocket,486.19,1091.31,3,COD,False
ORD-7156,SKU-1081,Enhance B2B Vortals,2025-12-16 19:57:51,2025-12-17 09:57:45,2025-12-29 09:57:45,12.0,110037,Ekart Logistics,4597.48,11718.67,3,COD,False
ORD-7157,SKU-1098,E-Enable Killer Web-Readiness,2025-12-16 21:09:11,2025-12-17 03:26:40,2025-12-24 03:26:40,7.0,110001,Blue Dart,769.24,2161.19,2,COD,False
ORD-7159,SKU-1053,Mesh Robust Web Services,2025-12-16 22:31:55,2025-12-17 19:34:55,2025-12-26 19:34:55,9.0,110001,Blue Dart,3775.06,7410.27,1,COD,False
ORD-7164,SKU-1341,E-Enable Value-Added Action-Items,2025-12-17 05:12:29,2025-12-17 19:12:09,2025-12-26 19:12:09,9.0,411057,Blue Dart,2622.34,6595.64,2,COD,False
ORD-7168,SKU-1128,Iterate Viral Communities,2025-12-17 11:32:11,2025-12-18 05:12:52,2026-01-02 05:12:52,15.0,110037,Blue Dart,1867.97,4809.76,3,COD,False
ORD-7170,SKU-1475,Strategize Scalable Synergies,2025-12-17 15:22:52,2025-12-18 13:41:00,2025-12-27 13:41:00,9.0,110001,Ekart Logistics,4167.17,8680.36,1,COD,False
ORD-7172,SKU-1408,Enhance Integrated Networks,2025-12-17 17:25:59,2025-12-18 15:57:36,2026-01-02 15:57:36,15.0,560068,Blue Dart,2727.72,4804.74,3,COD,False
ORD-7174,SKU-1207,Aggregate Next-Generation Applications,2025-12-17 20:59:35,2025-12-18 15:25:45,2025-12-28 15:25:45,10.0,400076,Delhivery,3214.06,5230.32,1,COD,False
ORD-7175,SKU-1064,Strategize Granular Technologies,2025-12-17 23:52:00,2025-12-18 14:41:05,2025-12-28 14:41:05,10.0,411057,Ekart Logistics,4684.98,9171.9,1,COD,False
ORD-7176,SKU-1489,Reinvent Granular E-Business,2025-12-18 00:29:55,2025-12-18 20:48:54,2025-12-29 20:48:54,11.0,110037,Ekart Logistics,3997.47,8297.33,3,COD,False
ORD-7180,SKU-1401,Productize Turn-Key Relationships,2025-12-18 04:57:45,2025-12-18 11:52:17,2026-01-01 11:52:17,14.0,560068,Delhivery,685.06,1283.67,2,COD,False
ORD-7181,SKU-1027,Optimize Seamless Info-Mediaries,2025-12-18 06:36:25,2025-12-18 22:55:56,2025-12-31 22:55:56,13.0,400076,Ekart Logistics,1100.87,2706.54,3,COD,False
ORD-7185,SKU-1449,Aggregate Out-Of-The-Box Roi,2025-12-18 13:03:08,2025-12-19 12:54:47,2025-12-28 12:54:47,9.0,560034,Blue Dart,4982.42,13188.66,3,COD,False
ORD-7186,SKU-1121,Syndicate Collaborative Solutions,2025-12-18 13:28:11,2025-12-19 03:16:22,2025-12-29 03:16:22,10.0,411057,Ekart Logistics,2252.72,5015.74,1,COD,False
ORD-7187,SKU-1108,Orchestrate Viral E-Services,2025-12-18 16:12:03,2025-12-19 08:22:18,2026-01-01 08:22:18,13.0,560034,Blue Dart,4996.44,11608.75,3,COD,False
ORD-7188,SKU-1021,Aggregate Dynamic Niches,2025-12-18 17:37:56,2025-12-19 12:46:25,2025-12-31 12:46:25,12.0,110037,Blue Dart,1859.12,5564.06,3,COD,False
ORD-7189,SKU-1232,Matrix Innovative Experiences,2025-12-18 18:48:45,2025-12-19 11:47:17,2026-01-03 11:47:17,15.0,110001,Blue Dart,3807.52,10429.42,2,COD,False
ORD-7190,SKU-1480,Empower Integrated Roi,2025-12-18 19:22:03,2025-12-19 13:50:44,2025-12-30 13:50:44,11.0,560034,Shiprocket,1179.49,2479.11,1,COD,False
ORD-7192,SKU-1232,Matrix Innovative Experiences,2025-12-18 22:43:31,2025-12-19 13:57:43,2025-12-30 13:57:43,11.0,110037,Ekart Logistics,3807.52,10429.42,1,COD,False
ORD-7193,SKU-1171,Deliver Front-End Niches,2025-12-18 23:33:46,2025-12-19 17:00:12,2025-12-31 17:00:12,12.0,110037,Delhivery,1849.8,2838.3,2,COD,False
ORD-7194,SKU-1265,Innovate Magnetic Communities,2025-12-19 00:34:39,2025-12-19 23:33:04,2025-12-30 23:33:04,11.0,411057,Blue Dart,899.76,1721.69,2,COD,False
ORD-7198,SKU-1092,Benchmark Leading-Edge Networks,2025-12-19 05:24:15,2025-12-19 16:40:57,2025-12-30 16:40:57,11.0,400076,Delhivery,4706.56,8290.91,3,COD,False
ORD-7200,SKU-1469,Strategize Scalable Channels,2025-12-19 09:45:31,2025-12-20 01:53:26,2025-12-28 01:53:26,8.0,400076,Shiprocket,4277.61,7309.96,2,COD,False
ORD-7204,SKU-1125,Morph Virtual Bandwidth,2025-12-19 15:19:47,2025-12-19 20:59:33,2026-01-02 20:59:33,14.0,411057,Shiprocket,2509.76,4432.77,2,COD,False
ORD-7205,SKU-1110,Generate Back-End Markets,2025-12-19 16:38:50,2025-12-20 10:44:44,2026-01-02 10:44:44,13.0,110001,Ekart Logistics,1232.44,1861.87,2,COD,False
ORD-7206,SKU-1250,Enable Value-Added Users,2025-12-19 17:49:47,2025-12-20 03:52:06,2025-12-30 03:52:06,10.0,560034,Ekart Logistics,1435.87,2487.5,2,COD,False
ORD-7207,SKU-1448,Envisioneer 24/7 Convergence,2025-12-19 20:28:55,2025-12-20 12:29:58,2025-12-31 12:29:58,11.0,110037,Shiprocket,2071.67,5862.09,1,COD,False
ORD-7210,SKU-1095,Synthesize One-To-One Action-Items,2025-12-20 01:03:05,2025-12-20 07:27:07,2026-01-04 07:27:07,15.0,110037,Shiprocket,1160.19,3421.46,1,COD,False
ORD-7213,SKU-1323,Synthesize Collaborative Methodologies,2025-12-20 06:37:56,2025-12-20 15:51:16,2026-01-04 15:51:16,15.0,560068,Blue Dart,1600.25,3603.21,1,COD,False
ORD-7214,SKU-1514,Unleash Dot-Com Users,2025-12-20 09:22:50,2025-12-20 18:27:56,2026-01-03 18:27:56,14.0,400076,Blue Dart,3658.88,8670.25,2,COD,False
ORD-7215,SKU-1414,Architect Synergistic Roi,2025-12-20 11:48:54,2025-12-20 23:33:40,2026-01-04 23:33:40,15.0,411057,Blue Dart,2966.15,8730.47,3,COD,False
ORD-7216,SKU-1119,Monetize Seamless Channels,2025-12-20 14:31:50,2025-12-21 13:47:00,2025-12-31 13:47:00,10.0,411057,Shiprocket,3945.79,6925.28,1,COD,False
ORD-7217,SKU-1168,Evolve Robust E-Services,2025-12-20 17:23:17,2025-12-21 14:20:13,2026-01-04 14:20:13,14.0,411057,Blue Dart,1013.08,2679.72,2,COD,False
ORD-7219,SKU-1038,Embrace Real-Time Supply-Chains,2025-12-20 22:01:26,2025-12-21 07:52:57,2025-12-28 07:52:57,7.0,411057,Shiprocket,1499.78,2600.24,3,COD,False
ORD-7220,SKU-1429,Implement B2C Vortals,2025-12-20 23:34:51,2025-12-21 06:41:54,2025-12-28 06:41:54,7.0,560034,Blue Dart,1756.78,3754.96,1,COD,False
ORD-7224,SKU-1454,Aggregate Sticky Architectures,2025-12-21 06:47:03,2025-12-22 00:13:47,2026-01-02 00:13:47,11.0,411057,Shiprocket,4249.93,7851.0,3,COD,False
ORD-7228,SKU-1375,Aggregate Viral Eyeballs,2025-12-21 11:38:19,2025-12-22 07:29:55,2026-01-01 07:29:55,10.0,560034,Delhivery,1991.45,5583.58,2,COD,False
ORD-7229,SKU-1018,Minimalist Wall Clock,2025-12-21 11:48:06,2025-12-21 16:52:41,2026-01-01 16:52:41,11.0,560068,Shiprocket,720.0,1799.0,1,COD,False
ORD-7230,SKU-1357,Unleash Revolutionary Supply-Chains,2025-12-21 12:31:25,2025-12-22 00:15:36,2026-01-02 00:15:36,11.0,411057,Blue Dart,4942.89,11747.83,3,COD,False
ORD-7231,SKU-1103,Strategize Magnetic Markets,2025-12-21 15:22:38,2025-12-22 12:14:04,2026-01-06 12:14:04,15.0,400076,Shiprocket,2415.58,7139.23,3,COD,False
ORD-7233,SKU-1003,Handmade Leather Wallet,2025-12-21 16:19:40,2025-12-22 15:22:20,2026-01-04 15:22:20,13.0,411057,Ekart Logistics,450.0,1199.0,1,COD,False
ORD-7235,SKU-1037,Embrace Vertical Models,2025-12-21 18:46:13,2025-12-22 11:02:57,2026-01-04 11:02:57,13.0,110001,Shiprocket,3509.44,9168.6,3,COD,False
ORD-7236,SKU-1048,Enable Next-Generation Functionalities,2025-12-21 21:38:04,2025-12-22 02:05:01,2026-01-01 02:05:01,10.0,110037,Delhivery,2705.22,4650.2,3,COD,False
ORD-7237,SKU-1425,Leverage Dot-Com Functionalities,2025-12-21 23:54:04,2025-12-22 18:35:42,,,110001,Ekart Logistics,3037.64,8746.14,3,COD,True
ORD-7238,SKU-1391,Seize Strategic Markets,2025-12-22 00:48:19,2025-12-22 10:09:04,2025-12-30 10:09:04,8.0,110001,Shiprocket,4356.02,8651.11,3,COD,False
ORD-7239,SKU-1114,Synergize Synergistic Platforms,2025-12-22 03:27:09,2025-12-22 17:58:56,2026-01-06 17:58:56,15.0,110001,Blue Dart,2193.37,4115.21,3,COD,False
ORD-7241,SKU-1232,Matrix Innovative Experiences,2025-12-22 06:14:00,2025-12-22 16:43:55,2026-01-01 16:43:55,10.0,110037,Shiprocket,3807.52,10429.42,1,COD,False
ORD-7244,SKU-1178,Re-Contextualize World-Class E-Tailers,2025-12-22 11:06:51,2025-12-22 17:19:55,2026-01-06 17:19:55,15.0,400076,Ekart Logistics,3165.6,7356.24,1,COD,False
ORD-7247,SKU-1290,Exploit Turn-Key Vortals,2025-12-22 15:40:10,2025-12-22 22:27:58,2026-01-02 22:27:58,11.0,110037,Ekart Logistics,3312.27,9793.55,1,COD,False
ORD-7248,SKU-1110,Generate Back-End Markets,2025-12-22 16:57:19,2025-12-23 01:53:10,2025-12-30 01:53:10,7.0,560034,Blue Dart,1232.44,1861.87,2,COD,False
ORD-7251,SKU-1347,Monetize Enterprise Metrics,2025-12-23 00:37:19,2025-12-23 12:50:54,2025-12-30 12:50:54,7.0,560068,Blue Dart,4243.96,8563.78,2,COD,False
ORD-7253,SKU-1316,Syndicate Customized Niches,2025-12-23 01:18:47,2025-12-23 14:58:37,2026-01-02 14:58:37,10.0,560034,Blue Dart,465.44,1075.05,1,COD,False
ORD-7254,SKU-1226,Extend Innovative Action-Items,2025-12-23 02:58:25,2025-12-23 07:13:13,2026-01-02 07:13:13,10.0,560068,Delhivery,3815.85,9804.65,1,COD,False
ORD-7255,SKU-1068,Streamline Transparent Schemas,2025-12-23 04:32:13,2025-12-23 14:38:06,2026-01-01 14:38:06,9.0,110037,Ekart Logistics,621.98,1855.88,1,COD,False
ORD-7256,SKU-1439,Monetize One-To-One E-Markets,2025-12-23 05:33:15,2025-12-23 17:52:31,2026-01-05 17:52:31,13.0,560034,Shiprocket,1431.54,4075.23,2,COD,False
ORD-7257,SKU-1149,Implement Distributed Info-Mediaries,2025-12-23 07:21:24,2025-12-24 02:28:30,2026-01-02 02:28:30,9.0,110037,Delhivery,4696.7,11046.22,3,COD,False
ORD-7258,SKU-1040,Aggregate Best-Of-Breed Solutions,2025-12-23 08:51:29,2025-12-24 04:51:58,,,560034,Ekart Logistics,1627.56,3821.88,2,COD,True
ORD-7259,SKU-1269,Engineer Sticky E-Markets,2025-12-23 10:36:52,2025-12-24 08:03:51,2025-12-31 08:03:51,7.0,400076,Delhivery,1735.22,2826.88,1,COD,False
ORD-7260,SKU-1135,Aggregate Innovative Portals,2025-12-23 13:26:02,2025-12-24 04:53:54,2026-01-05 04:53:54,12.0,110037,Shiprocket,3756.66,10682.55,1,COD,False
ORD-7261,SKU-1397,Enable Compelling Supply-Chains,2025-12-23 15:27:59,2025-12-24 07:42:29,2026-01-02 07:42:29,9.0,110001,Ekart Logistics,2289.62,6388.14,3,COD,False
ORD-7262,SKU-1286,Orchestrate Compelling Relationships,2025-12-23 15:33:22,2025-12-24 10:58:10,2026-01-01 10:58:10,8.0,110001,Ekart Logistics,1409.09,2203.5,3,COD,False
ORD-7263,SKU-1038,Embrace Real-Time Supply-Chains,2025-12-23 17:42:50,2025-12-24 08:07:54,2026-01-03 08:07:54,10.0,400076,Shiprocket,1499.78,2600.24,1,COD,False
ORD-7264,SKU-1100,Integrate Back-End Initiatives,2025-12-23 20:41:43,2025-12-24 19:53:47,2026-01-08 19:53:47,15.0,110037,Shiprocket,377.77,1082.31,1,COD,False
ORD-7265,SKU-1463,Monetize Back-End Partnerships,2025-12-23 22:23:53,2025-12-24 07:54:20,2026-01-02 07:54:20,9.0,400076,Shiprocket,3141.96,7546.87,1,COD,False
ORD-7266,SKU-1136,Utilize Intuitive Info-Mediaries,2025-12-23 23:10:00,2025-12-24 08:26:31,2026-01-02 08:26:31,9.0,110037,Shiprocket,4614.21,7426.06,2,COD,False
ORD-7272,SKU-1474,Facilitate B2C Info-Mediaries,2025-12-24 08:59:51,2025-12-24 21:17:03,,,560068,Blue Dart,1793.01,3396.7,2,COD,True
ORD-7273,SKU-1158,Mesh Innovative Functionalities,2025-12-24 09:51:06,2025-12-24 22:29:56,2026-01-08 22:29:56,15.0,560068,Blue Dart,4233.21,8653.54,1,COD,False
ORD-7274,SKU-1482,Synergize Impactful Initiatives,2025-12-24 10:58:59,2025-12-24 20:08:27,2026-01-05 20:08:27,12.0,560034,Blue Dart,2939.93,7957.03,2,COD,False
ORD-7280,SKU-1022,Revolutionize Scalable Channels,2025-12-24 19:32:25,2025-12-25 18:59:48,2026-01-07 18:59:48,13.0,560068,Shiprocket,3721.48,5945.91,2,COD,False
ORD-7284,SKU-1143,Morph Customized Web Services,2025-12-24 23:17:01,2025-12-25 12:50:15,2026-01-01 12:50:15,7.0,411057,Blue Dart,3763.69,7174.32,3,COD,False
ORD-7287,SKU-1295,Re-Contextualize Next-Generation Roi,2025-12-25 05:36:19,2025-12-26 04:11:43,2026-01-03 04:11:43,8.0,560068,Ekart Logistics,1076.38,2984.56,3,COD,False
ORD-7288,SKU-1345,Orchestrate Leading-Edge Mindshare,2025-12-25 06:21:02,2025-12-25 18:11:05,2026-01-03 18:11:05,9.0,110001,Blue Dart,2160.51,4296.5,1,COD,False
